img;txt;data;conta;horarios
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\727.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\727.txt;7/1/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\84.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\84.txt;7/1/2021;sobremesas_diarias;3:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\2265.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\2265.txt;7/1/2021;sobremesas_diarias;6:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\897.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\897.txt;7/2/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\2059.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\2059.txt;7/2/2021;sobremesas_diarias;3:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\316.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\316.txt;7/2/2021;sobremesas_diarias;6:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1791.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1791.txt;7/3/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\182.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\182.txt;7/3/2021;sobremesas_diarias;3:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\465.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\465.txt;7/3/2021;sobremesas_diarias;6:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1083.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1083.txt;7/4/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\922.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\922.txt;7/4/2021;sobremesas_diarias;3:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\251.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\251.txt;7/4/2021;sobremesas_diarias;6:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\749.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\749.txt;7/5/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\782.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\782.txt;7/5/2021;sobremesas_diarias;3:00 P
